Comm_name,t_switch,t_target,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_600,9.875457493639223,9.870496410754768,6.217872141,11,2,6.934974304550032,6.934974304550031,FALSE,FALSE
comm_601,9.338651060517842,9.422461165309192,4.596495571423754,11,5,10.20482100642612,10.204821006426114,FALSE,FALSE
comm_602,10.782271959174128,10.923775041273538,13.673280598511663,12,2,6.541688006722559,6.541688006722566,FALSE,FALSE
comm_603,7.965072229553235,8.074748408902867,2.1782661826815573,9,2,5.547928803329628,5.547928803329628,FALSE,FALSE
comm_604,10.760401023529388,10.629303044845349,9.111157007613865,8,4,2.2816394624580005,2.2816394624579996,FALSE,FALSE
comm_605,10.621279346121726,10.789031024042853,7.176450412795998,9,3,2.319444322692964,2.319444322692963,FALSE,FALSE
comm_606,7.1458077369769155,7.156128426158139,1.73506556,11,4,5.540024999529516,5.540024999529517,FALSE,FALSE
comm_607,9.191541263855296,9.280747982368885,5.847019968307416,12,5,25.262609278095155,25.262609278095155,FALSE,FALSE
comm_608,9.552157838,9.506973187318886,9.258407807078072,9,4,13.25452406979148,13.254524069791488,FALSE,FALSE
comm_609,9.992241812,9.989163810297109,10.838178507855774,9,5,11.19636269336192,11.196362693361914,FALSE,FALSE
comm_610,12.313486669045885,12.744287181120031,11.156215494112407,10,4,4.876995711776139,4.8769957117761376,FALSE,FALSE
comm_611,9.808379351,9.809076559,9.354328023,11,3,4.577572217559903,4.577572217559903,FALSE,FALSE
comm_612,9.867623694890352,10.111615747038599,6.480534446151023,11,4,5.178952424613844,5.178952424613848,FALSE,FALSE
comm_613,10.299989390603967,10.262555202806874,8.058788201550751,8,4,4.788049869797829,4.788049869797828,FALSE,FALSE
comm_614,10.875546680876397,10.853204586319507,13.843784990306634,11,3,9.055991405815803,9.055991405815803,FALSE,FALSE
comm_615,8.912978757263296,8.793979175781693,3.167366435199194,8,5,12.39992359679729,12.39992359679728,FALSE,FALSE
comm_616,7.069898337019362,7,1.8728898428018108,9,5,24.444636719140462,24.444636719140462,FALSE,FALSE
comm_617,10.355335091825047,10.206591272184879,7.206748902784877,12,2,2.1051137057809886,2.105113705780988,FALSE,FALSE
comm_618,8.829374095943843,8.979474468168558,3.714668426933567,8,4,3.694758534258174,3.694758534258172,FALSE,FALSE
comm_619,10.688143065899895,10.43483471661064,10.325306515018138,8,4,6.542077226882209,6.542077226882209,FALSE,FALSE
comm_620,9.090384255,9.152444336753959,6.323697610359381,10,2,3.685685296312993,3.685685296312995,FALSE,FALSE
comm_621,9.34971682,9.215079339115126,6.127364352939745,8,4,5.931207111840076,5.9312071118400755,FALSE,FALSE
