Comm_name,Time,AM_depletion,P_production
comm1,0.0,0.0,0.0
comm1,1.0,0.006011636170897649,0.009017454256346473
comm1,2.0,0.01477450376296991,0.022161755644454866
comm1,3.0,0.027415440992438672,0.041123161488658
comm1,4.0,0.04538876067199763,0.06808314100799644
comm1,5.0,0.07044971760803855,0.10567457641205782
comm1,6.0,0.10451953180915141,0.15677929771372714
comm1,7.0,0.14941302230241013,0.2241195334536152
comm1,8.0,0.20646665527743144,0.30969998291614714
comm1,9.0,0.276195376300854,0.41429306445128133
comm1,10.0,0.35814520092759616,0.5372178013913943
comm1,11.0,0.4510245955412946,0.6765368933119419
comm1,12.0,0.5530371530195161,0.8295557295292739
comm1,13.0,0.6622588438236544,0.9933882657354814
comm1,14.0,0.776918408946609,1.1653776134199136
comm1,15.0,0.8955404228741722,1.3433106343112582
comm1,16.0,1.0169773125431742,1.5254659688147614
comm1,17.0,1.1403778742146529,1.7105668113219792
comm1,18.0,1.2651309859258817,1.8976964788888222
comm1,19.0,1.3908080636262168,2.0862120954393246
comm1,20.0,1.5122581023411432,2.2683871535117146
comm10,0.0,0.0,0.0
comm10,1.0,0.030265430620909937,0.03555469056430367
comm10,2.0,0.10493910341687164,0.11137750502395995
comm10,3.0,0.3129861848901996,0.2981875174811893
comm10,4.0,0.8682791818861022,0.7693740549255232
comm10,5.0,1.9455695893283207,1.6969171318586096
comm10,6.0,3.0103917054790337,2.6515395751108897
comm10,7.0,3.997687020545726,3.552311537366639
comm10,8.0,4.9434449513997825,4.421244079585156
comm10,9.0,5.866082154278716,5.2716779197506805
comm10,10.0,6.775645490890638,6.111467311193696
comm10,11.0,7.677787773460343,6.945206680396915
comm10,12.0,8.575737890110327,7.775572676231888
comm10,13.0,9.471350373308788,8.604113717957846
comm10,14.0,10.365688350041191,9.431714678258295
comm10,15.0,11.259356077043165,10.258871425115277
comm10,16.0,12.152693427466176,11.085855045317484
comm10,17.0,13.045888614211707,11.912808451611022
comm10,18.0,13.939038781894507,12.739798597753047
comm10,19.0,14.832195869888931,13.56685588896494
comm10,20.0,15.72538073094229,14.393986304752275
comm11,0.0,0.0,0.0
comm11,1.0,0.03823542556521807,0.009549042016116865
comm11,2.0,0.10577968415276057,0.023337183735044984
comm11,3.0,0.2222804719966116,0.04291660944486864
comm11,4.0,0.41159430054135954,0.07006837282959219
comm11,5.0,0.6911872739988344,0.1065772508089677
comm11,6.0,1.0612074915444007,0.15394348859198873
comm11,7.0,1.505021155258644,0.21300893154634398
comm11,8.0,1.9138535580751697,0.27504602666464467
comm11,9.0,2.267231508550759,0.3353690378341517
comm11,10.0,2.5896878733382227,0.3945867355807746
comm11,11.0,2.892799375209298,0.4530619445168882
comm11,12.0,3.1829840676904673,0.5110288638972961
comm11,13.0,3.4641613445132533,0.5686458195225428
comm11,14.0,3.738881551741784,0.6260229257932864
comm11,15.0,4.00887874002064,0.6832381187847896
comm11,16.0,4.275370228210561,0.7403471429423634
comm11,17.0,4.53923040720202,0.7973900320363255
comm11,18.0,4.801097352549279,0.8543954634721925
comm11,19.0,5.061445098791605,0.9113839836338886
comm11,20.0,5.320627380627245,0.9683700414646496
comm2,0.0,0.0,0.0
comm2,1.0,0.003915559216646804,0.0
comm2,2.0,0.010419717273666442,0.0
comm2,3.0,0.021162896693486876,0.0
