Comm_name,Time,sp1,sp2,sp3,sp4,sp5
comm1,0.0,0.0082260189440082,0.0,0.0,0.0,0.0
comm1,1.0,0.012042677080805787,0.0,0.0,0.0,0.0
comm1,2.0,0.01747876469626957,0.0,0.0,0.0,0.0
comm1,3.0,0.025062177499939838,0.0,0.0,0.0,0.0
comm1,4.0,0.035340047371728,0.0,0.0,0.0,0.0
comm1,5.0,0.04873780820265067,0.0,0.0,0.0,0.0
comm1,6.0,0.06534311585635483,0.0,0.0,0.0,0.0
comm1,7.0,0.08468330561286243,0.0,0.0,0.0,0.0
comm1,8.0,0.10564324178397841,0.0,0.0,0.0,0.0
comm1,9.0,0.1266562847166571,0.0,0.0,0.0,0.0
comm1,10.0,0.14614171280432228,0.0,0.0,0.0,0.0
comm1,11.0,0.16294555589608048,0.0,0.0,0.0,0.0
comm1,12.0,0.17655360613739893,0.0,0.0,0.0,0.0
comm1,13.0,0.18702324560354533,0.0,0.0,0.0,0.0
comm1,14.0,0.19476511289301168,0.0,0.0,0.0,0.0
comm1,15.0,0.20032363928404692,0.0,0.0,0.0,0.0
comm1,16.0,0.20423067238992004,0.0,0.0,0.0,0.0
comm1,17.0,0.2069360988432764,0.0,0.0,0.0,0.0
comm1,18.0,0.20879018568583,0.0,0.0,0.0,0.0
comm1,19.0,0.21005159876251672,0.0,0.0,0.0,0.0
comm1,20.0,0.18541691413293246,0.0,0.0,0.0,0.0
comm10,0.0,0.0205966086101682,0.0,0.0051968652689962,0.0,0.0039521402627049
comm10,1.0,0.02938017630456214,0.0,0.01974969141297956,0.0,0.012483616502745654
comm10,2.0,0.041335045687657744,0.0,0.07289621599409933,0.0,0.038862834649535744
comm10,3.0,0.05778506198976011,0.0,0.24291336744926406,0.0,0.1166793369180819
comm10,4.0,0.08197610407041091,0.0,0.6174019804564731,0.0,0.31562217694381306
comm10,5.0,0.10568405163918927,0.0,0.7766666031866333,0.0,0.4882144675515776
comm10,6.0,0.11338700848475619,0.0,0.6678690279667926,0.0,0.46161821068915904
comm10,7.0,0.11835457265679519,0.0,0.6196068533376456,0.0,0.439717527801752
comm10,8.0,0.12178937026273408,0.0,0.5952718941772331,0.0,0.42524176491697235
comm10,9.0,0.12426108386775084,0.0,0.5822023685152478,0.0,0.4161793262282796
comm10,10.0,0.1260853172504231,0.0,0.5749420660167591,0.0,0.4106152873531389
comm10,11.0,0.1274547958933808,0.0,0.5708334810874975,0.0,0.4072313854273269
comm10,12.0,0.12849512927896106,0.0,0.5684857115317367,0.0,0.40518547580566333
comm10,13.0,0.12929210391157128,0.0,0.5671384169388429,0.0,0.4039536674163184
comm10,14.0,0.1299063389096599,0.0,0.5663651414566849,0.0,0.40321420235208344
comm10,15.0,0.1303817772761932,0.0,0.5659231115210304,0.0,0.40277131119037235
comm10,16.0,0.13075094367540438,0.0,0.5656723319626126,0.0,0.4025064421284536
comm10,17.0,0.1310382967918166,0.0,0.5655313185641005,0.0,0.4023478015705783
comm10,18.0,0.13126227990482978,0.0,0.5654540067326,0.0,0.4022530792303821
comm10,19.0,0.13143714075485086,0.0,0.5654124198191657,0.0,0.4021961092308457
comm10,20.0,0.13157371534838108,0.0,0.565391492357559,0.0,0.4021620752192966
comm11,0.0,0.0087410398394689,0.0091643201957426,0.0,0.0093315963236077,0.0
comm11,1.0,0.01270642984551568,0.014878526376396414,0.0,0.01978128742509088,0.0
comm11,2.0,0.01822293758303739,0.02364507309193913,0.0,0.04013076546204228,0.0
comm11,3.0,0.025621085360583176,0.03633571414985062,0.0,0.07522538539427381,0.0
comm11,4.0,0.03505242810028652,0.05320949186531289,0.0,0.12477838906286598,0.0
comm11,5.0,0.04636053582518293,0.07335795681377033,0.0,0.17805028303467238,0.0
comm11,6.0,0.05908278172934091,0.09482561725249485,0.0,0.22068313497471925,0.0
comm11,7.0,0.07023212639114257,0.11071144364887592,0.0,0.2319043650778313,0.0
comm11,8.0,0.06783109255730754,0.10012941418804061,0.0,0.17661240058789612,0.0
comm11,9.0,0.06632784984954287,0.09352810089746642,0.0,0.14962502434712058,0.0
comm11,10.0,0.06533232009796855,0.08907349373197726,0.0,0.13410251969324707,0.0
comm11,11.0,0.0646550580317887,0.08592347349907425,0.0,0.12432113693431449,0.0
comm11,12.0,0.06418915431911347,0.08362594648480158,0.0,0.11779692747245968,0.0
comm11,13.0,0.06386862643591198,0.08191325711280449,0.0,0.1132770589803221,0.0
comm11,14.0,0.06365030372206841,0.08061589157943747,0.0,0.11006151938735662,0.0
comm11,15.0,0.06350479096982332,0.07962109546173578,0.0,0.10772931723093192,0.0
comm11,16.0,0.06341149636920064,0.07885101518695094,0.0,0.10601292538805833,0.0
comm11,17.0,0.06335571242911515,0.07825035549563215,0.0,0.10473524133177282,0.0
comm11,18.0,0.06332680842905314,0.07777901579598989,0.0,0.10377550055208988,0.0
comm11,19.0,0.06331699192971674,0.07740727539843428,0.0,0.10304887861267961,0.0
comm11,20.0,0.06332055679265498,0.07711290165816354,0.0,0.10249509210159756,0.0
comm2,0.0,0.0,0.0021438450877572,0.0,0.0,0.0
comm2,1.0,0.0,0.003568788722867597,0.0,0.0,0.0
comm2,2.0,0.0,0.005915472556209806,0.0,0.0,0.0
comm2,3.0,0.0,0.009736736519885877,0.0,0.0,0.0
comm2,4.0,0.0,0.015846212385472853,0.0,0.0,0.0
comm2,5.0,0.0,0.025333638472551857,0.0,0.0,0.0
comm2,6.0,0.0,0.03942005191031453,0.0,0.0,0.0
comm2,7.0,0.0,0.05900032423747289,0.0,0.0,0.0
comm2,8.0,0.0,0.08386162217923775,0.0,0.0,0.0
