Comm_name,t_switch,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_0,10.707805147408774,3.0504614665246166,12,3,1.205458871819548,1.2054588718195482,FALSE,FALSE
comm_1,8.806465458729798,3.0504614665246166,10,4,5.664044672067691,5.664044672,FALSE,FALSE
comm_2,9.277387487447424,3.0504614665246166,11,5,4.1843349310845035,4.184334931084503,FALSE,FALSE
comm_3,9.758018405912548,3.0504614665246166,12,2,1.0198414112486864,1.0198414112486864,FALSE,FALSE
comm_4,10.536275207523085,3.0504614665246166,9,2,2.6129319691477972,2.6129319691477972,FALSE,FALSE
comm_5,8.385099626,3.0504614665246166,9,4,3.4556622244225323,3.455662224422533,FALSE,FALSE
comm_6,9.19836195,3.0504614665246166,12,2,2.157751519,2.1577515193026997,FALSE,FALSE
comm_7,12.167729605381489,3.0504614665246166,12,5,4.152452361956507,4.152452361956507,FALSE,FALSE
comm_8,9.042786071,3.0504614665246166,11,3,1.9649805422291655,1.964980542229166,FALSE,FALSE
comm_9,9.594361508978068,3.0504614665246166,11,3,0.6395689325190834,0.6395689325190835,FALSE,FALSE
comm_10,9.493220187312676,3.0504614665246166,8,3,3.999193421616047,3.9991934216160474,FALSE,FALSE
comm_11,10.370477008395529,3.0504614665246166,9,2,2.5849859793908583,2.5849859793908587,FALSE,FALSE
comm_12,9.467471550889902,3.0504614665246166,11,2,2.9398924803820377,2.939892480382037,FALSE,FALSE
comm_13,9.096868614,3.0504614665246166,11,2,6.928480816698262,6.928480816698263,FALSE,FALSE
comm_14,9.665912928935404,3.0504614665246166,12,2,1.215267764801946,1.2152677648019454,FALSE,FALSE
comm_15,7.720862163963371,3.0504614665246166,11,5,6.411317461,6.4113174607046695,FALSE,FALSE
comm_16,11.69156223379687,3.0504614665246166,11,3,2.0251537498926715,2.0251537498926715,FALSE,FALSE
comm_17,9.491644357335892,3.0504614665246166,12,5,7.353049600922403,7.353049600922403,FALSE,FALSE
comm_18,12.633694270222366,3.0504614665246166,8,3,1.1406255364304947,1.1406255364304945,FALSE,FALSE
comm_19,9.372024764822411,3.0504614665246166,12,4,5.171223379682287,5.171223379682288,FALSE,FALSE
comm_20,9.510162595011776,3.0504614665246166,12,2,0.6752319858917155,0.6752319858917153,FALSE,FALSE
comm_21,10.36870997130103,3.0504614665246166,12,4,1.2401712724452854,1.2401712724452851,FALSE,FALSE
