Comm_name,t_switch,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_0,10.707805147408774,3.0504614665246166,12,3,2.7125525921909004,2.7125525921909004,FALSE,FALSE
comm_1,8.806465458729798,3.0504614665246166,10,5,5.3044824527840175,5.3044824527840175,FALSE,FALSE
comm_2,9.277387487447424,3.0504614665246166,11,2,4.154092170665014,4.154092170665013,FALSE,FALSE
comm_3,9.758018405912548,3.0504614665246166,12,5,4.214190039696781,4.214190039696781,FALSE,FALSE
comm_4,10.536275207523085,3.0504614665246166,9,3,3.120103958417988,3.1201039584179884,FALSE,FALSE
comm_5,8.385099626,3.0504614665246166,9,3,4.347117836707859,4.347117836707859,FALSE,FALSE
comm_6,9.19836195,3.0504614665246166,12,6,5.541827234463892,5.541827234463893,FALSE,FALSE
comm_7,12.167729605381489,3.0504614665246166,12,4,1.0154940409682387,1.0154940409682387,FALSE,FALSE
comm_8,9.042786071,3.0504614665246166,11,6,3.405397377555707,3.4053973775557083,FALSE,FALSE
comm_9,9.594361508978068,3.0504614665246166,11,6,6.412104765811333,6.412104765811331,FALSE,FALSE
comm_10,9.493220187312676,3.0504614665246166,8,3,2.711556486945903,2.7115564869459026,FALSE,FALSE
comm_11,10.370477008395529,3.0504614665246166,9,3,6.572346745709426,6.572346745709427,FALSE,FALSE
comm_12,9.467471550889902,3.0504614665246166,11,5,8.383479801785743,8.383479801785743,FALSE,FALSE
comm_13,9.096868614,3.0504614665246166,11,5,13.797660816726223,13.797660816726223,FALSE,FALSE
comm_14,9.665912928935404,3.0504614665246166,12,5,3.1479292207098175,3.147929220709818,FALSE,FALSE
comm_15,7.720862163963371,3.0504614665246166,11,6,8.355117204608367,8.355117204608366,FALSE,FALSE
comm_16,11.69156223379687,3.0504614665246166,11,2,0.2112384722398521,0.2112384722398521,FALSE,FALSE
comm_17,9.491644357335892,3.0504614665246166,12,2,6.359331619025017,6.359331619025018,FALSE,FALSE
comm_18,12.633694270222366,3.0504614665246166,8,2,1.1805192037737895,1.1805192037737895,FALSE,FALSE
comm_19,9.372024764822411,3.0504614665246166,12,6,7.244363569644831,7.244363569644832,FALSE,FALSE
comm_20,9.510162595011776,3.0504614665246166,12,4,2.588795760205099,2.5887957602050995,FALSE,FALSE
comm_21,10.36870997130103,3.0504614665246166,12,7,7.025304659491488,7.025304659491489,FALSE,FALSE
comm_22,12.258880646952475,3.0504614665246166,8,4,6.074651309053374,6.074651309053375,FALSE,FALSE
comm_23,10.99039479164112,3.0504614665246166,9,2,4.115784381245312,4.115784381245313,FALSE,FALSE
comm_24,9.805386275629566,3.0504614665246166,11,3,4.235393811458086,4.235393811458086,FALSE,FALSE
comm_25,9.467481516401977,3.0504614665246166,9,4,3.7775495449020102,3.777549545,FALSE,FALSE
comm_26,10.928436523601338,3.0504614665246166,11,5,4.361558165833604,4.361558165833604,FALSE,FALSE
comm_27,9.535472296151417,3.0504614665246166,11,7,12.300912475648284,12.300912475648282,FALSE,FALSE
comm_28,9.457101122832068,3.0504614665246166,12,6,3.4410461814624944,3.441046181462494,FALSE,FALSE
comm_29,9.458088252256305,3.0504614665246166,8,1,3.4798760545564944,3.479876054556495,FALSE,FALSE
comm_30,10.997887321234296,3.0504614665246166,9,3,0.7639476790590598,0.7639476790590598,FALSE,FALSE
comm_31,10.54006500807674,3.0504614665246166,11,5,6.984321183660306,6.984321183660306,FALSE,FALSE
comm_32,9.571631010563149,3.0504614665246166,12,4,2.3305777947220805,2.330577795,FALSE,FALSE
comm_33,9.363170163314813,3.0504614665246166,12,4,1.9652117946866023,1.965211794686602,FALSE,FALSE
comm_34,9.346903758837811,3.0504614665246166,9,3,1.450636198658179,1.4506361986581784,FALSE,FALSE
comm_35,9.253186366863806,3.0504614665246166,8,2,3.901060511376019,3.9010605113760186,FALSE,FALSE
comm_36,11.435420524228004,3.0504614665246166,8,3,2.2352325855024677,2.2352325855024677,FALSE,FALSE
comm_37,9.773049438,3.0504614665246166,12,3,2.497504845051723,2.497504845051723,FALSE,FALSE
comm_38,9.464453919,3.0504614665246166,11,4,3.399135920578086,3.399135920578086,FALSE,FALSE
comm_39,10.034124295169526,3.0504614665246166,9,4,4.634758712290142,4.634758712290142,FALSE,FALSE
comm_40,10.23613243304025,3.0504614665246166,12,3,2.8901017984903374,2.8901017984903374,FALSE,FALSE
comm_41,10.387601089892996,3.0504614665246166,9,4,3.77621933,3.7762193304438014,FALSE,FALSE
comm_42,9.758687137,3.0504614665246166,10,4,4.083665128,4.083665127814541,FALSE,FALSE
comm_43,11.351607382775931,3.0504614665246166,12,4,5.148511085806991,5.148511085806993,FALSE,FALSE
comm_44,9.480057923619915,3.0504614665246166,10,3,3.7026637258343817,3.7026637258343817,FALSE,FALSE
comm_45,11.45815194316054,3.0504614665246166,9,4,6.537778882598585,6.537778882598585,FALSE,FALSE
comm_46,10.88164103375014,3.0504614665246166,8,3,2.676344640432671,2.676344640432671,FALSE,FALSE
comm_47,9.278566104,3.0504614665246166,10,4,3.7486464369550903,3.7486464369550903,FALSE,FALSE
comm_48,8.749016987,3.0504614665246166,12,6,4.654956357844855,4.654956357844856,FALSE,FALSE
comm_49,12.167453808016187,3.0504614665246166,9,3,1.5110975695041082,1.511097569504109,FALSE,FALSE
comm_50,9.024258631613792,3.0504614665246166,9,3,3.411857746924457,3.411857746924456,FALSE,FALSE
comm_51,9.043994811149958,3.0504614665246166,8,5,6.429198942097386,6.429198942097386,FALSE,FALSE
comm_52,9.832914779571691,3.0504614665246166,11,5,6.0921374100649235,6.0921374100649235,FALSE,FALSE
comm_53,8.619695549795193,3.0504614665246166,10,6,9.922719254441336,9.922719254441336,FALSE,FALSE
comm_54,9.582648112629464,3.0504614665246166,12,5,6.700831583298533,6.700831583298532,FALSE,FALSE
comm_55,8.485429260925642,3.0504614665246166,10,3,4.231382715060111,4.2313827150601115,FALSE,FALSE
comm_56,10.586695891538248,3.0504614665246166,9,6,5.543052284188658,5.543052284188659,FALSE,FALSE
comm_57,10.253686945228118,3.0504614665246166,11,5,6.0623326630962815,6.062332663096281,FALSE,FALSE
comm_58,9.008413347333546,3.0504614665246166,9,3,4.960354673517206,4.960354673517206,FALSE,FALSE
comm_59,9.022880364,3.0504614665246166,8,3,6.780193298579927,6.780193298579928,FALSE,FALSE
comm_60,9.693201933,3.0504614665246166,8,2,2.6535770843533246,2.6535770843533246,FALSE,FALSE
